tracker,state_estimator,lost_track_buffer,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,high_conf_det_threshold,HOTA,IDF1,MOTA,output_dir
ByteTrack,XCYCSR,10,0.9,3,0.05,0.7,0.8597426295107843,0.8102969926776086,0.9812797236569614,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-3_minimum_iou_threshold-0.05_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,10,0.9,3,0.05,0.9,0.8597426295107843,0.8102969926776086,0.9812797236569614,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-3_minimum_iou_threshold-0.05_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,10,0.9,3,0.1,0.5,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,10,0.9,3,0.1,0.6,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,10,0.9,3,0.1,0.7,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,10,0.9,3,0.1,0.9,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,10,0.9,3,0.3,0.5,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,10,0.9,3,0.3,0.6,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,10,0.9,3,0.3,0.7,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,10,0.9,3,0.3,0.9,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.9_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.2,1,0.05,0.5,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.2,1,0.05,0.6,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.2,1,0.05,0.7,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.2,1,0.05,0.9,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.2,1,0.1,0.5,0.8578849930945696,0.8053780055053475,0.9822210580598689,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-1_minimum_iou_threshold-0.1_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.2,1,0.1,0.6,0.8578849930945696,0.8053780055053475,0.9822210580598689,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-1_minimum_iou_threshold-0.1_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.2,1,0.1,0.7,0.8578849930945696,0.8053780055053475,0.9822210580598689,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-1_minimum_iou_threshold-0.1_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.2,1,0.1,0.9,0.8578849930945696,0.8053780055053475,0.9822210580598689,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-1_minimum_iou_threshold-0.1_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.2,1,0.3,0.5,0.8355141931825307,0.7793223709770133,0.9658363824382471,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-1_minimum_iou_threshold-0.3_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.2,1,0.3,0.6,0.8355141931825307,0.7793223709770133,0.9658363824382471,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-1_minimum_iou_threshold-0.3_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.2,1,0.3,0.7,0.8355141931825307,0.7793223709770133,0.9658363824382471,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-1_minimum_iou_threshold-0.3_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.2,1,0.3,0.9,0.8355141931825307,0.7793223709770133,0.9658363824382471,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-1_minimum_iou_threshold-0.3_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.2,3,0.05,0.5,0.8597426295107843,0.8102969926776086,0.9812797236569614,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-3_minimum_iou_threshold-0.05_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.2,3,0.05,0.6,0.8597426295107843,0.8102969926776086,0.9812797236569614,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-3_minimum_iou_threshold-0.05_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.2,3,0.05,0.7,0.8597426295107843,0.8102969926776086,0.9812797236569614,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-3_minimum_iou_threshold-0.05_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.2,3,0.05,0.9,0.8597426295107843,0.8102969926776086,0.9812797236569614,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-3_minimum_iou_threshold-0.05_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.2,3,0.1,0.5,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.2,3,0.1,0.6,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.2,3,0.1,0.7,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.2,3,0.1,0.9,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.2,3,0.3,0.5,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.2,3,0.3,0.6,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.2,3,0.3,0.7,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.2,3,0.3,0.9,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.2_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.5,1,0.05,0.5,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.5,1,0.05,0.6,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.5,1,0.05,0.7,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.5,1,0.05,0.9,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.5,1,0.1,0.5,0.8578849930945696,0.8053780055053475,0.9822210580598689,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-1_minimum_iou_threshold-0.1_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.5,1,0.1,0.6,0.8578849930945696,0.8053780055053475,0.9822210580598689,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-1_minimum_iou_threshold-0.1_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.5,1,0.1,0.7,0.8578849930945696,0.8053780055053475,0.9822210580598689,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-1_minimum_iou_threshold-0.1_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.5,1,0.1,0.9,0.8578849930945696,0.8053780055053475,0.9822210580598689,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-1_minimum_iou_threshold-0.1_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.5,1,0.3,0.5,0.8355141931825307,0.7793223709770133,0.9658363824382471,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-1_minimum_iou_threshold-0.3_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.5,1,0.3,0.6,0.8355141931825307,0.7793223709770133,0.9658363824382471,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-1_minimum_iou_threshold-0.3_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.5,1,0.3,0.7,0.8355141931825307,0.7793223709770133,0.9658363824382471,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-1_minimum_iou_threshold-0.3_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.5,1,0.3,0.9,0.8355141931825307,0.7793223709770133,0.9658363824382471,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-1_minimum_iou_threshold-0.3_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.5,3,0.05,0.5,0.8597426295107843,0.8102969926776086,0.9812797236569614,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-3_minimum_iou_threshold-0.05_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.5,3,0.05,0.6,0.8597426295107843,0.8102969926776086,0.9812797236569614,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-3_minimum_iou_threshold-0.05_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.5,3,0.05,0.7,0.8597426295107843,0.8102969926776086,0.9812797236569614,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-3_minimum_iou_threshold-0.05_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.5,3,0.05,0.9,0.8597426295107843,0.8102969926776086,0.9812797236569614,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-3_minimum_iou_threshold-0.05_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.5,3,0.1,0.5,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.5,3,0.1,0.6,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.5,3,0.1,0.7,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.5,3,0.1,0.9,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.5,3,0.3,0.5,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.5,3,0.3,0.6,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.5,3,0.3,0.7,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.5,3,0.3,0.9,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.7,1,0.05,0.5,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.7,1,0.05,0.6,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.7,1,0.05,0.7,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.7,1,0.05,0.9,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.7,1,0.1,0.5,0.8578849930945696,0.8053780055053475,0.9822210580598689,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-1_minimum_iou_threshold-0.1_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.7,1,0.1,0.6,0.8578849930945696,0.8053780055053475,0.9822210580598689,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-1_minimum_iou_threshold-0.1_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.7,1,0.1,0.7,0.8578849930945696,0.8053780055053475,0.9822210580598689,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-1_minimum_iou_threshold-0.1_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.7,1,0.1,0.9,0.8578849930945696,0.8053780055053475,0.9822210580598689,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-1_minimum_iou_threshold-0.1_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.7,1,0.3,0.5,0.8355141931825307,0.7793223709770133,0.9658363824382471,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-1_minimum_iou_threshold-0.3_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.7,1,0.3,0.6,0.8355141931825307,0.7793223709770133,0.9658363824382471,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-1_minimum_iou_threshold-0.3_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.7,1,0.3,0.7,0.8355141931825307,0.7793223709770133,0.9658363824382471,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-1_minimum_iou_threshold-0.3_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.7,1,0.3,0.9,0.8355141931825307,0.7793223709770133,0.9658363824382471,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-1_minimum_iou_threshold-0.3_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.7,3,0.05,0.5,0.8597426295107843,0.8102969926776086,0.9812797236569614,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-3_minimum_iou_threshold-0.05_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.7,3,0.05,0.6,0.8597426295107843,0.8102969926776086,0.9812797236569614,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-3_minimum_iou_threshold-0.05_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.7,3,0.05,0.7,0.8597426295107843,0.8102969926776086,0.9812797236569614,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-3_minimum_iou_threshold-0.05_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.7,3,0.05,0.9,0.8597426295107843,0.8102969926776086,0.9812797236569614,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-3_minimum_iou_threshold-0.05_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.7,3,0.1,0.5,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.7,3,0.1,0.6,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.7,3,0.1,0.7,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.7,3,0.1,0.9,0.8557945389518706,0.8063491320309897,0.9778336211906652,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-3_minimum_iou_threshold-0.1_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.7,3,0.3,0.5,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.7,3,0.3,0.6,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.7,3,0.3,0.7,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.7,3,0.3,0.9,0.8334095838771699,0.7818193426072813,0.9606467649474354,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.7_minimum_consecutive_frames-3_minimum_iou_threshold-0.3_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.9,1,0.05,0.5,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.9_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.5
ByteTrack,XCYCSR,30,0.9,1,0.05,0.6,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.9_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.6
ByteTrack,XCYCSR,30,0.9,1,0.05,0.7,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.9_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.7
ByteTrack,XCYCSR,30,0.9,1,0.05,0.9,0.86182882162324,0.8096903740456969,0.9855280067448656,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.9_minimum_consecutive_frames-1_minimum_iou_threshold-0.05_high_conf_det_threshold-0.9
ByteTrack,XCYCSR,30,0.9,1,0.1,0.5,0.8578849930945696,0.8053780055053475,0.9822210580598689,ByteTrack_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.9_minimum_consecutive_frames-1_minimum_iou_threshold-0.1_high_conf_det_threshold-0.5
